	Inchikey		 zero-point	      Enthalpy		  Free-energy
IZHVFAKMAKGJLM-VKHMYHEASA-N    -343.41181200        -343.40518600        -343.44096300       
KCZUDCXKVKUHCH-UHFFFAOYSA-N    -343.31109300        -343.30302200        -343.34231500       
IMROMDMJAWUWLK-UHFFFAOYSA-N    -153.76043200        -153.75586100        -153.78489000       
MQZTXKZTLDDYNK-UHFFFAOYSA-N    -343.48452400        -343.47689400        -343.51543000       
XKRYVGDYTMIZST-VKHMYHEASA-N    -343.47924000        -343.47124300        -343.51045600       
UFHFLCQGNIYNRP-UHFFFAOYSA-N    -1.16533800          -1.16203300          -1.17682500         
MFKZDADVASPENT-OWOJBTEDSA-N    -343.38718800        -343.37903900        -343.41853700       
XKTYXVDYIKIYJP-UHFFFAOYSA-N    -266.98288200        -266.97822400        -267.00940400       
NEZWFWIACBUQMN-UHFFFAOYSA-N    -266.02448600        -266.01853400        -266.05177600       
UGFAIRIUMAVXCW-UHFFFAOYSA-N    -113.31230400        -113.30899900        -113.33144100       
KQBGNBDMOJYJAO-UHFFFAOYSA-N    -343.38565200        -343.37767800        -343.41749800       
FNWLCNZUVROOFW-UHFFFAOYSA-N    -343.39366300        -343.38552900        -343.42504100       
OAFRVESFETYZKN-UHFFFAOYSA-N    -342.18675700        -342.17885800        -342.21828700       
NCCRMMIIRYTOBF-UHFFFAOYSA-N    -342.21692500        -342.20942100        -342.24803600       
PUVHYYICZICZGV-GSVOUGTGSA-N    -343.32536400        -343.31728000        -343.35606700       
VNWKTOKETHGBQD-UHFFFAOYSA-N    -40.47559600         -40.47178600         -40.49526700        
HSFWRNGVRCDJHI-UHFFFAOYSA-N    -77.30809200         -77.30389200         -77.32281800        
WEWAPBZNGSPYOY-SFOWXEAESA-N    -342.16039000        -342.15226100        -342.19232000       
BPEDXNYOTVMGJB-NSCUHMNNSA-N    -343.39275000        -343.38427200        -343.42411500       
LEQAOMBKQFMDFZ-UHFFFAOYSA-N    -227.79558500        -227.79042700        -227.82191400       
CRYATLIDHPPXDV-UHFFFAOYSA-N    -191.812403	    -191.807874		 -191.837778
AAEZMHSWRQVQEK-UHFFFAOYSA-N    -191.812021	    -191.807117		 -191.837796
VBBRYJMZLIYUJQ-UHFFFAOYSA-N    -191.829475	    -191.824525		 -191.855355
TVDSBUOJIPERQY-UHFFFAOYSA-N    -191.804146	    -191.798339		 -191.830827
QRNDDJXJUHBGSG-UHFFFAOYSA-N    -191.790648	    -191.784772		 -191.817361
